■科目名,,■開設年度,■区分,■対象学科名,■分類,■単位数,■実施期,■履修条件,■前後期,■担当教員,■代表教員名及び連絡先等,■オフィスアワ－,■講義の概要（目的・内容・方法）,■授業の到達目標及びテーマ,■授業計画,■授業外学習（予習・復習）,■受講要件,■成績の評価基準,■教科書・参考書,■教師としての資質能力に関するチェック項目,アクティブ・ラーニング,アクティブ・ラーニング（その他）,アクティブ・ラーニング(授業回数),■実務経験のある教員による実践的授業,■その他
漢文学講読I,Readings in Classical Chinese Literature I,2020,専修専門科目,国語科,,1,2期,,後,大渕貴之,"obuchi〓edu.kagoshima-u.ac.jp
但し、ゲタにはアットマークが入る。",授業前後に相談を受け付ける。,"大久保利通の詩（自筆揮毫の残る物）を選読する。
受講者は、割り当てられた詩について、担当日までに発表資料を作成する。
担当者提出の資料に基づき、全受講者で読みを深めるための討議を行なう。","典故表現の理解。
注釈の作業を通じた諸典籍との出会いと理解。
鹿児島ゆかりの文人の理解。","１、ガイダンス。学習グループの編成。担当箇所の割り振り。
２、各種工具書の使用方法について。
３、「送森山子之遊京」詩
４、「陛辞千里向関東(第一句)」詩
５、「庚午歳旦」詩
６、「国家気運恢興時(第一句)」詩
７、「寓亀山陣営」詩
８、「乙亥冬日囲棋偶作兼寄松陰君」詩
９、「迂生未有尺寸功(第一句)」詩
10、「送岩村通俊君赴任〓麑城」詩
11、「送西郷参謀従軍赴関東旧作」詩
12、「通石門偶題」詩
13、「下通州偶題」詩
14、「為客京城感慨多」詩
15、総括
","予習として、複数の辞書や参考書等を批判的に利用しつつ指定作品を読んでくること。
復習として、授業後に配布物やノートの整理等を行なうこと。
毎時、予復習に２時間程度かけることを目安とする。",「漢文訓読法」及び「漢文学概論」を履修済みであることが望ましい。,"担当箇所の発表（80点）及び毎時の質疑応答（20点）による。
なお、公欠は正課の実習等、3親等以内の親族の慶弔、学校保健安全法施行規則第18条に定めらる感染症によるものに限る。
課外活動（部活動・サークル活動）による欠席は公欠としない。",授業時に資料を配付する。,"7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","プレゼンテーション
振り返り(ミニッツ・ペーパー等）
",,15回中15回,,"第１回のガイダンス時に学習グループの編成を行ない、担当作品を決定する。
したがって、必ず出席することを求める。万が一、やむを得ない事由により欠席する場合には、必ず事前に相談すること。"
近世文学講読,Readings in Japanese Classical Literature,2020,専修専門科目,国語科,,1,2期,,後,亀井森,099-285-7836/turtle@edu.kagoshima-u.ac.jp,,"本講義では日本の古典文学（～１８６７）の名作を読みながら、日本人の考え方や美意識を学んでいく。前期の講読は、日本の代表的な怪談である上田秋成（うえだあきなり）の『雨月物語』（うげつものがたり）の中から「吉備津の釜（きびつのかま）」と「蛇性の婬（じゃせいのいん）」を読んでいく。
　上田秋成（1734－1809）は江戸時代後期の読本（よみほん）作者・歌人・俳人・国学者。和漢に渡る広範な知識を基に名作『雨月物語』を生み出した。しかし『雨月物語』を読むことは簡単ではない。この作品はストーリーもさることながら秋成の古典和歌・文芸の素養が文中の随所にちりばめられている。本講義では活字だけでなく、まんがやその他のメディアを利用して『雨月物語』が描こうとした世界を理解したいと考えている。なお本講義を履修する者には変体仮名（くずし字）の修得を求める。","・古典の名作に触れる。
・江戸時代の小説史について理解を深める。","第１回：ガイダンス・基礎の確認
第２回：江戸時代について
第３回：上田秋成および『雨月物語』について
第４回：「吉備津の釜」
第５回：「吉備津の釜」
第６回：「吉備津の釜」
第７回：「吉備津の釜」
第８回：「吉備津の釜」
第９回：「吉備津の釜」
第１０回：「蛇性の婬」
第１１回：「蛇性の婬」
第１２回：「蛇性の婬」
第１３回：「蛇性の婬」
第１４回：江戸時代小説史
第１５回：第１５回　授業の総括と確認試験を行う。","使用教材・参考文献を前もって読んでおくこと。
授業の初めに前回の授業内容を確認するので、復習をしておくこと。",古典文学あるいは近世文学に興味のある学生・怪奇譚に興味のある学生・またこれらにあまり興味のない学生。,"学期末に確認試験を課す。成績は平常点２０％、確認試験を８０％として、これらを合わせて総合的に判断する。講義中および講義後の質問・発表など講義に対する積極性は成績に加味する。全講義時数の３分の２以上の出席者を評価の対象とする。
",上田秋成『雨月物語』（青木正次編、講談社、1981年）,"14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
",,,,,
国語学演習,Seminar in Japanese Linguistics,2020,専修専門科目,国語科,,1,3期,,前,梅崎光,連絡先については授業で配布した資料を参照のこと。,"火曜1限
",　キリシタン資料の読解演習の過程を通じ、日本語史上の諸問題についての調査・考察をおこなう。問題構成の視点としては古典語と現代語との対照に重点をおき、そこから過去の日本語の特質を把握する。,"　(1) キリシタン資料に於けるローマ字表記法に習熟する。
　(2) 過去の日本語を研究する基本的な手続きを知る。","　初回から第3回くらいまでにわたって調査事項と注意点を説明する。受講者の理解度等に応じて若干の伸び縮みや内容変更があると了解していただきたい。
　　(1) キリシタン資料の概要。
　　(2) 日本語史の史料としてのキリシタン資料の位置づけ。
　　(3) 以下、担当者を決めて実際のキリシタン資料の読解。
","・　資料を事前に読み、各自の問題意識を明確にし、議論ができるようにしておく。
・　授業で配布した資料および授業中の筆記をもとに授業内容を復習する。
","　特に設けないが、日本語史に関する基礎知識がある方が望ましい。
","　発表(20％)、レポート(20％)、確認試験(60％)。
　なお、この科目の単位を落とすと卒業できない(或いは、教員免許が取れない)という理由によって成績評価に関わる特別扱いを行うことは一切しない。
","【教科書】なし。
【参考書】授業中に適宜示す。
","7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","グループ・ディスカッション
プレゼンテーション
振り返り(ミニッツ・ペーパー等）
",,,,"受講に当たっての注意事項は以下のとおりである。
　（1）遅刻しない。やむを得ず遅刻した場合はコソコソと入室する。
　（2）私語等による妨害行為はお断りする。
　（3）授業中はスマホ・携帯電話の電源を切って鞄にしまう。
　（4）授業時間中に無断で抜け出さない。
"
国文学史II,History of Japanese Literature II,2020,専修専門科目,国語科,,2,3期,,前,亀井　森,turtle@edu.kagoshima-u.ac.jp,,"　文学作品について深く理解するためには、それぞれの時代や作家の特徴に関する文学史的な知識が必要不可欠である。
　本講義では、中古から近世までの日本文学の系譜について講述する。毎回、時代やジャンルごとに主要な作品を具体的に取り上げ、原文の一部を音読、鑑賞しながら、それぞれの作品の持つ特徴について理解を深め、日本文学を通史的に捉えられるようにする。
　授業は、配布資料等による講義と課題等を組み合わせた形式で行う。","1）日本古典文学における時代区分やジャンルを理解する。
2）作品の成立時期や作者、内容を説明することができる。
3）作品の原文を正しく読み、鑑賞することができる。　","第１回：イントロダクション 古典籍について
第２回：仮名の誕生
第３回：中古の和歌
第４回：物語（源氏物語以前）
第５回：日記文学
第６回：随筆文学
第７回：物語（源氏物語以後）
第８回：歴史物語
第９回：軍記物語
第１０回：説話文学
第１１回：中世の和歌と連歌
第１２回：御伽草子と仮名草子
第１３回：俳諧と紀行文
第１４回：読本
第１５回：総括 確認テスト

","【予習】
配布資料と精読し、授業で取り上げる内容について把握しておく。（計30時間、各回2時間）
【復習】
授業で取り上げた作品の特徴について復習し、課題をまとめる。（計30時間、各回2時間）",変体仮名（くずし字）に関心がある学生や国文学について深く学びたい学生,"学期末に確認テストを課す。成績は、授業時の課題等を４０％、確認テストを６０％として、これらを合わせて総合的に判断する。全講義時数の３分の２以上の出席者を評価の対象とする。
","テキスト：講義時にプリントを配布する。
参考書：『はじめて学ぶ日本文学史』（榎本隆司編、ミネルヴァ書房、2010年）","7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
15.授業展開力及び授業評価力
　【D構想力，展開力，評価力等】基礎的な教育技術や教育評価について理解し，それを活かした授業実践と，授業の評価･改善を行うことができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
17.各教科等のカリキュラムに関する理解
　【E教科領域等の内容理解】教育課程及びその編成や学習指導要領について，基礎的な知識を身に付けている
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","振り返り(ミニッツ・ペーパー等）
",,,,
近代文学講読I,Readings in Japanese Modern Literature I,2020,専修専門科目,国語科,,1,3期,,後,亀井森,099-285-7836/turtle@edu.kagoshima-u.ac.jp,,"　本講義では「近代とは何か」を考えるための基礎知識として近代前期の散文作品・短歌・俳句・詩についてさまざまな作品を読む。正岡子規を軸にして明治前期を横断的に捉えることを目的とする。
　本講義の理解のために、江戸時代以前の和歌史・俳諧史について概観する。そののちにテキストを読み進めていきたいと考えている。なお本講義を履修する者には近代文学理解のために、変体仮名（くずし字）の読解練習を求める。
　またかごしま近代文学館への参観を課す。","・「近代とは何か」を考えることができる。
・近代文学における韻文のあり方、また古典文学の位置について理解を深める。","第１回：ガイダンス「近代になって何が変わったか」
第２回：『逝きし世の面影』
第３回：正岡子規について
第４回：近世までの和歌史・俳諧史
第５回：「歌よみに与ふる書」（１）
第６回：「歌よみに与ふる書」（２）
第７回：「歌よみに与ふる書」（３）
第８回：『春色梅児誉美』
第９回：『小説神髄』が生まれるまで
第１０回：『小説神髄』
第１１回：幸田露伴『五重塔』
第１２回：北原白秋・石川啄木
第１３回：佐々木弘綱・正岡子規
第１４回：高浜虚子・河東碧梧桐・飯田蛇笏・山口誓子
第１５回：授業の総括と確認試験を行う。","使用教材・参考文献を前もって読んでおくこと。
授業の初めに前回の授業内容を確認するので、復習をしておくこと。",近代文学に興味がある学生・もしくはそうでない学生・江戸時代（近世）以前の文芸と近代文学との違いについて知りたい学生・上記いずれでもない学生,"学期末に試験を課す。成績は平常点その他４０％、確認試験を６０％として、これらを合わせて総合的に判断する。講義中および講義後の質問・発表など講義に対する積極性は成績に加味する。全講義時数の３分の２以上の出席者を評価の対象とする。
",教科書　正岡子規『歌よみに与ふる書』（岩波文庫、500円）、授業時に資料を配布する。,"14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
17.各教科等のカリキュラムに関する理解
　【E教科領域等の内容理解】教育課程及びその編成や学習指導要領について，基礎的な知識を身に付けている
",,,,,
近代文学講読III【2019年度は不開講】,Readings in Japanese Modern Literature III,2020,専修専門科目,国語科,,1,3期,,不定期,原田義則,"代表教員名：原田義則
連絡先：099-285-7835，yo.harada@edu.kagoshima-u.ac.jp

",,"　本講義では，近代文学作品（主に中学校国語教科書収載の作家・作品)を取り上げて作家の伝記的事実から作品を分析したり，同一作家の他作品との比較や読者に引き寄せた読みを行い，作品が読者に問いかけていることをつかませたい。
　授業内容としては，我が国における近代文学成立の歴史的背景も踏まえつつ，代表的な近代文学作品(国語科教科書所載の作品)を講読し，その意味についてつかんでいく。また，講義のまとめとして，近代文学作品を選択して書評(ブックレビュー)にまとめていく。
　授業方法としては，配布資料等による講義及び演習，課題レポートを組み合わせた形式で行う。
","作品が自らに問いかけていることは何かをつかみ，調べたり考えたことを表現できるようになる。 
","第1回　オリエンテーション　
第2回　文学理論　1　テクスト論について
第3回　文学理論　2　ＰＩＳＡ型読解力について
第4回　宮沢賢治論　1　宮沢賢治について
第5回　宮沢賢治論　2　賢治作品(文学)について　
第6回　宮沢賢治論　3　賢治作品(詩)について
第7回　森鴎外論　1　　森鴎外について
第8回　森鴎外論　2　　鴎外作品「舞姫」の背景について
第9回　森鴎外論　3　　鴎外作品「舞姫」について
第10回　森鴎外論　4　鴎外作品「高瀬舟」について
第11回　森鴎外論　5　鴎外作品「高瀬舟」と「最後の一句」について
第12回　ヘルマン・ヘッセ論
第13回　吉本隆明の書評(ブックレビュー)から
第14回　近代文学を語る　1　(選択した近代文学作品の書評の発表)
第15回　近代文学を語る　2　(選択した近代文学作品の書評の発表)及びまとめ　
",　講義で扱う近代文学作品を下読みし，講義内において発言ができるように準備しておく。また，講義終末に実施するブックレビューの発表で使用する作品を選択しておくこと。(学修に要する標準時間は，約1時間。),国語科教育に関心がある者,"・　授業態度(20%)　※但し4回以上の欠席は，授業放棄とみなす。
・　レポート2回の評価点(40%×2)
",教科書：森鴎外『山椒大夫・高瀬舟』,"1.教職の意義（使命感・倫理観等）に関する理解
　【A教職の理解】教職の意義と役割を理解し、教育的愛情に支えられた使命感や職責感を持っている
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
",,,,,
中古中世文学講読,,2020,専修専門科目,国語科,,1,3期,,前後,梅崎光,連絡先については授業で配布した資料を参照のこと。,"火曜1限
","　中古および中世の古典文学作品の注釈を受講生が行ない、それを吟味する
","　1.古典語によって書かれた文章の表現上の特徴について理解を深める。
　2.注釈作業を通じて、各種索引や辞典等の工具書の使用法を身につける。
","　注釈作業の進め方に関する説明をしたのち、全体を10班ほどに分けて各班が自分たちの担当箇所についての調査結果を発表し、それを他の参加者とともに吟味しあう。先行注釈書の記述の批判的検討が主な内容となろう。前期は御巫本『大和物語』、後期は御伽草子を読む。
","・　資料を事前に読み、各自の問題意識を明確にし、議論ができるようにしておく。
・　授業で配布した資料および授業中の筆記をもとに授業内容を復習する。
",　くずし字を読むので、「古典文学演習」を必ず履修しておくこと。,"・　発表(40％)、確認試験(60％)。
・　なお、この科目の単位を落とすと卒業できない(或いは、教員免許が取れない)という理由によって成績評価に関わる特別扱いを行うことは一切しない。","【教科書】前期：なし（資料配布）／後期：石川透編『火桶の草子』(室町物語影印叢刊)三弥井書店、2013年
【参考書】授業中に適宜示す。
","7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","グループ・ディスカッション
プレゼンテーション
",,,,"受講に当たっての注意事項は以下のとおりである。
　（1）遅刻しない。やむを得ず遅刻した場合はコソコソと入室する。
　（2）私語等による妨害行為はお断りする。
　（3）授業中はスマホ・携帯電話の電源を切って鞄にしまう。
　（4）授業時間中に無断で抜け出さない。
"
漢文学講読II,Readings in Chinese Literature II,2020,専修専門科目,国語科,,1,3期,,前,大渕貴之,"obuchi〓edu.kagoshima-u.ac.jp
但し、ゲタにはアットマークが入る。",毎授業前後に相談を受け付ける。,"『聊斎志異』「葛巾」を読解する。
受講者は、割り当てられた担当箇所について、担当日までに発表資料を作成する。
担当者提出の資料に基づき、全受講者で読みを深めるための討議を行なう。","作品の読解を通して中国古典文学の面白さに触れる。
当時の人々のものの見方や考え方について理解を深める。
各種版本に於ける異同の実態を知り、その理由を考える。
火野葦平『中国艶笑風流譚』「恋と牡丹」を合わせ読み、翻案について考える。","１、ガイダンス。『聊斎志異』について。担当箇所の割り振り。
２、「葛巾」第１～６行（『聊斎志異評註』〔商務印書館、1842年序刊本〕による。以下同じ）
３、第７～12行
４、第13～18行
５、第19～24行
６、第25～30行
７、第31～36行
８、第37～42行
９、第43～48行
10、第49～54行
11、第55～60行
12、第61～66行
13、第67～71行
14、「恋と牡丹」との比較のまとめ。グループ発表。
15、本講義の総括","予習として、複数の訳本、参考書等を批判的に利用しつつ指定作品を読んでくること。
復習として、授業後に配布物やノートの整理等を行なうこと。
毎時、予復習に２時間程度かけることを目安とする。",「漢文訓読法」及び「漢文学概論」を履修済みであることが望ましい。,"担当箇所の発表（80点）及び毎時の質疑応答（20点）による。
なお、公欠は正課の実習等、3親等以内の親族の慶弔、学校保健安全法施行規則第18条に定めらる感染症によるものに限る。
課外活動（部活動・サークル活動）による欠席は公欠としない。","使用テキスト：（清）蒲松齢撰, 但明倫新評, 王士正上評, 呂湛叔注釈『聊斎志異評註』巻4「葛巾」（商務印書館, 1842年序刊）※プリントにて配布。
このほか適宜、図書館及び国語科資料室で利用可能な標点本、訳本、参考書類を参照すること。","7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","グループ・ディスカッション
プレゼンテーション
振り返り(ミニッツ・ペーパー等）
",,15回中14回,,"第１回のガイダンス時に学習グループの編成を行ない、担当箇所を決定する。
したがって、必ず出席することを求める。万が一、やむを得ない事由により欠席する場合には、必ず事前に相談すること。"
漢文学特講,Special Theme in Chinese Literature,2020,専修専門科目,国語科,,2,3期,,前,大渕貴之,"obuchi〓edu.kagoshima-u.ac.jp
但し、ゲタにはアットマークが入る。",,"島津久光『詩稿』（鹿児島大学中央図書館玉里文庫蔵本）所収の漢詩の読解を通して、日本漢文について理解を深める。
我が国に於ける中国古典文学の受容について理解を深める。
毎時、次の時間に取り扱う作品について予習を指示する。
全受講者は、作品の下読みを準備した上で講義に臨むこととする。",日本漢文及び我が国に於ける中国古典文学の受容について理解を深める。,"１、ガイダンス、島津久光及び『詩稿』について
２、各種工具書の使用方法について
３、「洛陽道」
４、「長安道」
５、「関山月」
６、「折楊柳」
７、「梅花落」
８、「紫[馬留]馬」
９、「入塞曲」
10、「昭君怨」
11、「従軍行」
12、「銅雀妓」
13、「長門怨」
14、「??怨」
15、「塞下曲」及び本講義の総括
","毎時間指定する内容の予復習を行なうこと。
毎回、予習（指定されたテーマについてのレポート作成または作品の読解等）に3時間30分、復習に30分充てることを目安とする。",漢文訓読法、漢文学概論を履修済みであることが望ましい。,"毎時提出の作品の下読み原稿（60点）とレポート（40点）とによる。
なお、公欠は正課の実習等、3親等以内の親族の慶弔、学校保健安全法施行規則第18条に定められる感染症によるものに限る。
課外活動（部活動・サークル活動）による欠席は公欠としない。",資料を配布する。,"7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","グループ・ディスカッション
プレゼンテーション
",,,,"第１回のガイダンス時に資料配付及び次時の予習指示を行なうので必ず出席すること。
万が一、やむを得ない事由により欠席する場合には、必ず事前に相談すること。"
書道演習II,Exereises in Calligraphy II,2020,専修専門科目,国語科,,1,3期,,後,瀬筒寛之,"099-285-7840
sezutsu@edu.kagoshima-u.ac.jp",授業後に、可能な限り質問を受け付ける。,行書は補助的で実用に即した書体である。歴史的にみると、後漢の終わりごろから六朝時代にかけて、隷書から草書が生まれる過程において形を整え、楷書の成立よりやや早く完成した。一般的には、楷書体を続け書きすることによって生まれたのが行書と思われがちであるが、書体変遷史上からすれば、隷書との関連で云々するのが正しい。行書は早く書けて（実用的）、しかも整っている（美的）ことを求めた書体である。その特徴としては、転折が丸味をおびる、点画を連続する、点画を省略する、形が変化する等があげられよう。本演習では、書聖と称される王羲之の蘭亭叙、集王聖教序を基本としながら実技の習熟をはかりたい。,"１　行書の様式美について習熟 
２　基本点画の用筆と運筆について習熟 
３　造形のとり方について習熟 
４　行書の学習指導案について","　１　硬筆　　　　　　オリエンテーション 
　２　毛筆・硬筆　　行書の運筆の基本、終筆の変化
　３　毛筆・硬筆　　方向の変化
　４　毛筆・硬筆　　筆脈の実線化／硬筆テスト　
　５　毛筆・硬筆　　点画の直接連続
　６　毛筆・硬筆　　点画の省略　
　７　毛筆・硬筆　　筆順の違い
　８　毛筆・硬筆　　共通課題Ａ・Ｂの研究と提出
　９　毛筆・硬筆　　共通課題Ｃ・Ｄの研究と提出
１０　毛筆・硬筆　　高校書道への発展?
１１　毛筆・硬筆　　高校書道への発展?
１２　毛筆・硬筆　　「書き初め」について
１３　毛筆・硬筆　　行書の創作　選文・検字
１４　毛筆・硬筆　　行草の創作　練習・改善の検討
１５　毛筆・硬筆　　行書の創作　完成、鑑賞",教科書の内容の理解について、適宜確認を行う。,中学校国語免許希望者は必修,"１　提出する作品と指導案を総合的に評価する。
２　欠席４回で自動的に評価の対象としない。遅刻３回で欠席１回と見なす。",,"3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","その他
",演習（書道実技）を中心とする。,１０回,"授業担当者の高等学校での実務経験とその実務経験に基づき、主に中学校における行書指導法の修得および行書実技力の向上を図る。

",
国文学特講,Japanese special lecture,2020,専修専門科目,国語科,国文学,2,3期,,前,亀井森,099-285-7836/turtle@edu.kagoshima-u.ac.jp,,"本講義では近世（江戸時代）小説史を取り上げる。近世文芸の中でも散文はそれまでの時代に比してその量が飛躍的に増大した。それは時代の安定がもたらすものが大きいが、それとともに出版技術の向上と市場原理に基づく書肆の商業的活動によるところが大きい。また中でも小説は子ども向けから大人向け、また三教（神儒仏）・教訓的な内容から洒落・もじり・地口などを多用したもの、あるいは遊里を題材にしたものなどさまざまである。本講義は中世から近世への移行に伴う変化、また江戸時代における技術・法律などの面から近世小説史を捉え、各小説ジャンルについて概観していくことを目標とする。
具体的には　１．「雅」と「俗」について　２．出版　３．各小説ジャンル　の３つの視点から近世小説史をたどる。
なお、本講義を履修するものには変体仮名（くずし字）の習得を求める。",ここ数年、エコやリサイクル、倫理観・家族のあり方・世代間共生など各方面から江戸時代が見直されつつある。受講生たちには本講義が江戸時代という時代を理解し、現代社会・文芸を客観視する視座を獲得するための入口として多くの「気づき」を得てほしいと考えている。,"第１回：ガイダンス・近世文学における「雅」と「俗」
第２回：中世以前から江戸時代になって何が変わったか。価値感の変化および物理的変化について
第３回：変体仮名ガイダンス
第４回：仮名草子―教訓・その他―近世的価値の発生
第５回：浮世草子（１）西鶴以前
第６回：浮世草子（２）西鶴以後
第７回：出版―技術・経済原理・文運東漸
第８回：談義本―中国白話小説の影響・近世的価値の成熟―
第９回：前期読本―建部綾足・上田秋成―和文の成熟	
第１０回：草双紙（赤本・青本・黒本）―子ども絵本から大人の諧謔へ
第１１回：黄表紙・合巻―笑いと教養との融和
第１２回：洒落本―通・半可通―江戸の美意識
第１３回：後期読本―京伝・馬琴―江戸文学の爛熟
第１４回：滑稽本―三馬・一九―諧謔性の行き詰まり・マンネリ化について
第１５回：授業の総括と確認試験を行う。
","使用教材・参考文献を前もって読んでおくこと。
授業の初めに前回の授業内容を確認するので、復習をしておくこと。",江戸時代に関心がある学生。くずし字を読めるようになりたい学生,学期末に試験を課す。成績は平常点その他４０％、確認試験を６０％として、これらを合わせて総合的に判断する。講義中および講義後の質問・発表など講義に対する積極性は成績に加味する。また居眠り・講義中の無断退席等による非積極性も評価に反映するものとする。,『古文書入門　くずし字で「百人一首」を楽しむ』（中野三敏編、角川学芸出版）,"8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
15.授業展開力及び授業評価力
　【D構想力，展開力，評価力等】基礎的な教育技術や教育評価について理解し，それを活かした授業実践と，授業の評価･改善を行うことができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
17.各教科等のカリキュラムに関する理解
　【E教科領域等の内容理解】教育課程及びその編成や学習指導要領について，基礎的な知識を身に付けている
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
",,,,,
国語史特講【H29年度　不開講】,Special Lecture in History of Japanese,2020,専修専門科目,国語科,国語学,2,3期,以降,前隔年,今期開講なし,,,,,,,,,,,,,,,
