■対象入学年度,■対象学科名,■科目名,,■前後期,■実施期,■区分,■単位数,■担当教員,■代表者教員連絡先等,■授業の概要（目的と内容）,■受講学生が達成すべき目標,■成績の評価基準,■授業計画,■授業時間外学習,■参考書・教科書,■オフィスアワ－,■修得しておくべき科目・必要な予備知識,■学科の学習・教育到達目標との関連,■授業形態,■備考,■アクティブ・ラーニング,■アクティブ・ラーニング（「その他」の内容）,■アクティブ・ラーニング（授業回数）,■実務経験のある教員による実践的授業
2019,環境化学工学科,化学工学量論,Chemical Engineering Stoichiometry,前期,２年次前期,必修,2,吉田昌弘,　099-285-8526　myoshida@cen.kagoshima-u.ac.jp,"　化学量論は、物質の化学反応（化学的変化）および状態変化（物理的変化）にかかわる数量的関係を取り扱う物理化学の一部門である。化学工業における実際の生産から化学関連の研究に至るまで、対象とする化学プロセスや化学現象を定量的に把握・解析することはたいへん重要なことである。この「把握・解析」を容易にするために体系化されたものが化学量論である。すなわち、化学研究者あるいは技術者が実験を計画・実施し、結果を整理するどの段階でも、無くてはならないものである。本講義では、化学、物理および数学の基礎的知識を基に、例題を中心として化学関連現象を定量的に把握・解析する手法について解説する。
 　JABEE教育プログラムの教育目標の「確かな化学工学専門知識に基づく設計と応用によって人類社会に貢献できる能力」を養成するために講義を行う。",化学プロセスを定量的に理解できること。プロセス設計に入る前段階として、物質収支、熱収支の基礎的知識を応用して多岐にわたる化学プロセスを把握できること。,"講義の４／５以上の出席は必須である。
中間試験（４０％）、期末試験（５０％）、講義中に課題として出されるレポート等（１０％）に基づき総合的に評価する。","1 回　　ガイダンス・序論
2 回　　物質量と単位、単位の換算
3 回　　質量と単位、単位の換算の演習
4-5 回　気体のPVT関係（理想気体および実在気体）
6 回　　気体のPVT関係（理想気体および実在気体）の演習
7-8 回　蒸気の取り扱い
9回　　 蒸気の取り扱いの演習１
10 回   蒸気の取り扱いの演習２
11-13回 物質収支の基礎
　　　 （質量保存の法則と物質収支、濃度および平均分子量、
　　　  分離および混合に関する物質収支、化学反応を伴う物質収支）
14 回 　物質収支の基礎の演習１
15 回　 物質収支の基礎の演習２",講義内容を理解するためには、講義中に解説した教科書の例題を復習すること。また、講義の内容をより深く理解するため、課題として出される章末問題を解くことや教科書以外の化学工学量論に関連した本を読むことが望ましい。合計で６０時間以上の授業外学習時間が必要である。,"教科書：浅野康一著、化学プロセス計算（新訂版）、共立出版
参考書：古崎新太郎編著、役に立つシリーズ　?化学工学、朝倉書店","火曜日 13:00-14:00
ただし、メールによる質問は随時受け付ける。",化学、物理、数学が基礎となる。同じ開講期に開講される熱力学I、化学工学基礎は重要である。,JABEE教育プログラムの教育目標：（Ｂ）,講義,,,,,
2019,環境化学工学科,工業有機化学,Industrial Organic Chemistry,前期,２年次前期,選択,2,吉田昌弘,myoshida@cen.kagoshima-u.ac.jp,"身の回りの生活用品の大半は、有機化合物から製造されている。工業有機化学では、 有機化学基礎で学んだ
基礎知識を基にして、石油化学製品の反応や製造法を学び、さらに高分子物質及び機能性物質の標準的な製造法
及び基礎的な性質を学ぶ。本講義では、本学科の学習・教育目標2)「自然科学の基礎知識と教養、および確かな
化学工学専門知識に基づく設計と応用によって人類社会に貢献できる人材」を養成するために講義を行う。
科目コード：F-EN-CHE-3-2-13
","1.有機工業化学製品の基本的な化合物の名称および構造式を書くことができ、著名な製造プロセスについて説明
できること
2.有機工業化学における石油製品や有機工業製品の製造について説明できること
3.物質収支の計算ができ、その結果からコストを認識し、プロセス改良に活用できること","3分の2以上の出席率は必須である。各担当教員によって、レポートあるいは小テストを課す。評価は、そのレポ
ートまたは小テストにより行う。","1. ガイダンス
2．有機工業化学製品の資源
3．石油
4．石油化学と天然ガス化学
5．石炭とその化学
6. 演習1
7．油脂とその化学
8．有機化学製品にはどんなものがあるか
9．染料・顔料・塗料
10．界面活性剤と洗剤
11. 演習2
12．香料と化粧品
13．医薬と農薬
14．有機工業化学と環境－製造プロセスと製品
15. 演習3
2-6 甲斐担当、7-11 二井担当、12-15 吉田担当","授業は授業計画に従って行うので、教科書の関係する箇所を予習しておくこと。授業では講義内容に関係する練
習問題を出すので、講義内容の復習に活用すること。また講義の内容をより深く理解するため、参考書に示した
本など、教科書以外の有機化学に関連した本を複数読むことが望ましい。合計で６０時間以上の授業外学習時間
が必要である。
問題解決の行動力を積極的に着けるための一環として、宿題の解答を授業前の休み時間に自主的に（指名しない
）黒板に書いておくこと。","教科書： 「化学の指針シリーズ　有機工業化学」（井上祥平　著）裳華房
参考書:
「有機化学スタンダード　基礎有機化学」（小林啓二著）裳華房
「マクマリー有機化学概説」(J. McMary著、伊東、児玉訳)東京化学同人",講義の後に受け付ける (メールによる質問は随時受け付けるが、質問内容により直接会って説明する)。,有機化学基礎,学習・教育目標2),講義,,学習の振り返り（ミニッツ・ペーパー等）,,なし,該当なし
2019,環境化学工学科,量子化学（環）,Quantum Chemistry,前期,２年次前期,選択,2,肥後盛秀,099-285-8340　higo@apc.kagoshima-u.ac.jp,"物質の本質を理解するためには、まずその最小単位である原子・分子の微視的なレベルでその特性を理解しなけ
ればならない。原子・分子の世界では、我々の生きているマクロな世界とは異なり、量子力学がすべてを支配し
ている。この量子力学を化学に応用した量子化学を学ぶことにより、原子・分子の特性を理解することができる
。本講義では物理化学の重要な分野の一つである量子化学をその基礎から修得する。本講義では物理化学の重要
な分野の一つである量子化学をその基礎から理解する。
教育目標（B)として掲げた「確かな化学工学専門知識に基づく設計と応用によって人類社会に貢献できる能力」
を養成するために講義を行う。","電子の振る舞いを理解できるようになる。
原子の構造と周期律を理解できるようになる。
分子の構造と特徴を微視的に理解できるようになる。
化学結合を原子・分子のレベルで理解できるようになる。
物質の本質を原子・分子のレベルで理解できるようになる。",講義の4/5以上に出席したものを対象に試験を行う。演習(15％)と試験(85％)の成績で評価する。,"1.序論・電子と原子核
2.電子のエネルギー状態・量子論・原子模型
3.不確定性原理・シュレーディンガーの波動方程式
4.箱の中の粒子
5.水素原子の波動方程式
6.ヘリウム原子の波動方程式と近似法
7.原子の電子配置と周期律
8.演習
9.原子軌道法と分子軌道法
10.水素分子の分子軌道・簡単な分子の分子軌道
11.混成軌道・共有結合のイオン性
12.共鳴
13.その他の結合
14.演習
15.総合演習
16．期末試験","授業は授業計画に従って行うので、教科書の関係する箇所を予習しておくこと。また講義の内容をより深く理解
するために参考書に示した本など関連した本を複数読むことが望ましい。毎回の講義の始めに小テストを行うの
で、前回の講義の復習を３時間行うこと。２回の演習を行う。合計で６０時間以上の授業外学習時間が必要であ
る。","教科書：井上勝也著、現代物理化学序説、培風館
参考書：W.J.ムーア著、藤代亮一訳、物理化学、東京化学同人","木曜日 15:00-18:00
ただし、電子メイルによる質問は随時受け付ける。",数学、特に微分積分を修得しておくことが必要である。,教育目標（B),講義、演習,,学習の振り返り（ミニッツ・ペーパー等）,復習を兼ねた毎回の小テストと、学生による問題の解答の板書と説明,１５回中１５回,なし
2019,環境化学工学科,化学工学プログラミング,Programing for Chemical Engineering,前期,２年次前期,必修,2,二井　晋、水田　敬,k2088286@kadai.jp,"　現代社会はもはやコンピュータ無しでは成り立たない。特に技術者や研究者にあってはコンピュータを道具として使用する能力は必須である。コンピュータを操作するための道具であるアプリケーションは、近年市販品の質・量ともに充実してきており、化学技術者の仕事を強力にサポートしている。しかしコンピュータを必要とする仕事の中には、目的とする処理に特化したアプリケーションを使用した方が効率が高い場面も多々ある。このような場合、市販の汎用アプリケーションを使用するのではなく、プログラミング言語を使用して目的の処理を行うアプリケーションを「プログラム」する必要がある。本演習では、コンピュータをデータ整理、化学技術計算および機器制御の道具として使用するための基礎的な能力を修得することを目的とする。このため、まず、化学分野で多用されているスプレッドシート型表計算ソフトExcelを用いて、所定フォーマットにて表・グラフを作成する方法および回帰分析により近似関数を求める方法を理解し、データ整理や分析への利用法を学ぶ。また、プログラミング言語を用いたダイアログウィンドウの表示法、変数・関数の定義や使用法および計算結果の入出力方法について理解し、Windows上で動作するアプリケーションの構築方法を学ぶ。
　なおこの講義は、化学工学コースが教育目標として掲げた「基礎知識、倫理観に基づき持続可能な共生社会の創出へ貢献するために諸科学の基礎知識と教養および倫理観の養成する」に対応する。さらに、プログラミングを通じて論理的思考力、デザイン能力を涵養する事を目的としている。
科目コード：FENCHE2805","1.スプレッドシートによる表・グラフの作成法の修得
2.プログラミング言語における基本的な命令の理解
3. Windows上で動作するアプリケーションの開発方法の修得",各回の講義内容を確実に定着させるためにレポートを課す。また、講義全体の理解度を判断するために期末試験を実施する。なお、それぞれの評価の重みとしては、演習という性格を勘案して、レポート60％、期末試験40％とする。また、全授業時間に対して2/3以上の出席を必須とする。,"スプレッドシート型表計算ソフト（Excel）の利用：
1. データの入力方法：セルへの入力方法や、コピー、貼り付けなどの編集方法を学ぶことを目的とする。
2. 数式を利用した計算とグラフの作成、回帰分析：セル内の値を用いて種々の計算を行う方法について学ぶ。さらにグラフの作成と回帰分析の方法についても併せて学ぶことを目的とする。

プログラミング言語(Visual C#)によるアプリケーションの開発：
各回の講義概要は以下の通り。
3.基本的なアプリケーションの作成
4.変数・関数の使い方1
5.変数・関数の使い方2
6.条件分岐の使い方1
7.条件分岐の使い方2
8.繰り返しの使い方1
9.繰り返しの使い方2
10.繰り返しの使い方3
11.テキストファイルの入出力の方法1
12.テキストファイルの入出力の方法2
13.応用的なアプリケーションの作成1
14.応用的なアプリケーションの作成2
15.総合演習",授業では講義内容に関係するレポート課題を出すので、講義内容の復習に活用すること。また、次週の講義範囲についても指示するので、教科書の関係する項目を予習すること。講義内容に関連する本を複数読むことが望ましい。合計で６０時間以上の授業外学習時間が必要である。,講義プリントをWebよりダウンロードして使用する,"金曜日　15:00-18:00（水田）
ただし、メールによる質問は随時受け付ける。 ",情報活用基礎,学習教育目標の(A)持続可能な共生社会創出に対応する。,講義,,その他,講義中に学生への質問を出して答えさせる,15回中5回,該当なし
2019,環境化学工学科,情報システム,Information and Computer Systems,前期,２年次前期,選択,2,朱碧蘭 ,zhubilan@ibe.kagoshima-u.ac.jp,情報技術は現代社会には不可欠の技術になっている。如何に情報技術を使いこなすかが一国の消長を左右するようになっている。この授業では情報システムとして、我々の周囲に見られる基礎的な技術に関する目の付け所、重要点を紹介する。毎週講師が代わるので統一した目標は掲げないが、それぞれ の授業内容を理解、把握することで全体として情報システムの現状と将来について的確な認識が得られることを授業の目標とする。,講義では社会生活の中で使われる様々な情報システムを分かり易く解説する。レポートや小試験で自らの理解を深め、これらの情報システムの仕組みを理解した上で使えるようになること。例えば、ソフトウェアの歴史とアルゴリズムの概要を理解する。WWWの仕組みを理解し安全かつ有効に利用できるなどです。,レポートや小試験などを元にした各講師の評価点を集計して評価する。講義への欠席やレポートの未提出が無いようにすること。,"各講師が講義を完結してつなぐ方式の授業を行う。講義の順番が変更になる場合がある。

01) ユビキタスについて (大橋勝文)
02) ユビキタス機器の通信技術 (大橋勝文)
03）コンピュータ・ビジョン (川崎洋)
04）コンピュータ・グラフィクス (川崎洋)
05) 人と機械が共存するための画像認識技術 (渡邊睦)
06) ソフトウェアの話 (渕田孝康)
07) アルゴリズムの話 (渕田孝康)
08) 人工知能 (小野智司)
09) 数理計画法 (小野智司)
10) 視覚とディスプレイ (大塚作一)
11) コンピュータ画像処理 (佐藤公則)
12) 画像処理と個人識別 (佐藤公則)
13) スーパーコンピュータ (加藤龍蔵)
14) 計算機援用工学（Computer Aided Engineering） (加藤龍蔵)
15）World Wide Webの仕組み (水野和生)
16) 期末試験は行わない（各指定期日までにレポート等を提出）

学習保障時間　22.5時間",講義に関係する内容を自分でも独自に調べて復習してください。様々な機会を生かして学んだことを使ってみましょう。これらの授業時間外学習は合計60時間以上行うこと。,"講義資料は各担当教員より配布する。
参考書については必要に応じて各担当教員より指示する。",各担当教員より指示する。,情報活用基礎の修得が望ましい。,教育目標（４）（機械）,,,,,,
2019,環境化学工学科,応用数学I,Applied Mathematics I,前期,２年次前期,必修,2,江崎秀司,"鮫島宗一郎
099-285-7709
samesima@cen.kagoshima-u.ac.jp","応用数学は、理学・工学の基礎であり、化学者・化学技術者にとってもその重要性は大きい。自然現象の多くは微分方程式で表されるが、化学反応の速度、流体の運動、吸着や吸収操作、プロセスの制御など化学者・化学技術者が扱う問題も例外ではない。
　本講義では、応用数学IIの前段として、微分と積分についてまず復習を行う。その後、現象の数学的記述を行うことによって微分方程式が導かれることを示し、その基礎的な解法について学ぶ。
　学科教育目標２）に掲げた「自然科学の基礎知識と教養、および確かな化学工学専門知識に基づく設計と応用によって人類 社会に貢献できる人材」を養成するために行う。
科目コード：Fce2802","１．基礎的な微分積分ができるようになること。
２．簡単な現象を微分方程式で表せること。
３．簡単な微分方程式が解けること。",講義への出席率３分の２以上と学期末試験の受験は必須である。成績は理解度に応じて以下の配点で評価する。○レポート[15%]　○演習小テスト[20%]　○学期末試験[65%],"１．微分方程式の種類
２．微分積分の基本（基本関数，定数倍，和および差）
３．微分積分の基本（積，商，合成関数，逆関数）
４．一階微分方程式（変数分離形，線形，同次形）
５．高階微分方程式（斉次方程式，特性方程式，実数解）
６．高階微分方程式（重複解，虚数解）
７．簡単な応用（曲線の長さ，面積）
８．簡単な応用（回転体の体積）
９．力学における微積分（物体の運動）
１０．力学における微積分（自由落下の運動方程式，水平投射）
１１．力学における微積分（抵抗を受ける物体の運動）
１２．力学における微積分（バネの振動）
１３．工学における微積分例（気体の仕事）
１４．工学における微積分例（物理法則の適用例）
１５．工学における微積分例（速度式の適用例）",　授業では講義内容に関係するレポートを出すので、講義内容の復習に活用すること。また講義の内容をより深く理解するため、教科書以外の数学に関連した本を複数読むことが望ましい。合計で６０時間以上の授業外学習時間が必要である。,"教科書：　江崎秀司著「自分で学ぶ応用数学I」（工房糸車）
参考書：　野崎亮太著「道具としての微分方程式」（日本実業出版社）",メールによる質問は随時受け付ける。,"微分積分学AI、微分積分学AII
線形代数学I、線形代数学II",学習・教育目標：２）,講義,,,,0回,授業担当者は、民間の冷凍空調メーカーで吸収冷凍機の研究開発ならびに設計製造に加え、メンテナンスに至るまでの幅広い業務を行ってきた。その経験を基に、機器の設計開発に携わる技術者として、応用数学が重要な基礎科目であることを認識してもらえるように指導する。
2019,環境化学工学科,工学倫理,Moral Philosophy on Engineering(Engineering Ethics),前後期,２年次前後期,必修,2,小波盛佳,099-285-7709　samesima@cen.kagoshima-u.ac.jp,"[講義目的]　科学技術の進歩に伴い、人々の生活は豊かになり社会が発展してきた。特に２０世紀後半からの変化は多様で急速なものとなり、それ以前とは大きく異なる巨大な社会システムが構築され、その全容を把握することは容易でなくなってきた。その中で、科学技術による産物が人々や自然界に対して多大な負の影響を及ぼしてもいる。技術上の故意や過失による問題も生じている。これらの問題に対処していくには、普遍倫理をもとにした個人の倫理感に頼るだけでは不十分である。本講義では、科学技術を学ぶ立場の者にとって認識すべき法や規則を順守するなどの行動規範の重要性に加えて、科学技術者としての倫理感を醸成し、誇り高い専門家として
の自覚を持たせることを目的とする。すなわち、本講義は学習・教育目標「人類の持続可能な共生社会創出のため、国際的視野から多様な地域社会に寄与できる豊かな人間性、社会性、高い倫理観をもつ人材」の育成のために行う。
[講義概要]　本講義では、技術者の置かれた状況を様々な角度から示してその認識を高め、人としての普遍倫理の上に立った工学倫理の重要性を述べる。また、技術者が知るべき法や規制についてその基本的な内容を示し、各団体で定めた具体的な倫理綱領を順守することの意義を説明する。さらに討論を加えて倫理問題を具体的に解決する方法を考える道筋を示す。
科目コード　Fce2901",現代社会の変化の中で科学技術者の置かれている状況と役割を知り、科学技術が社会と自然に及ぼす影響や効果に関する理解を深め、技術者の責任を自覚できる能力を修得する。また、科学技術を取り巻く法規制や手順を順守することの重要性を認識し、職業人として倫理的な行動を意識できる世界観を醸成する。,講義の中で行われる討論および発表（３０％）と、3回実施する試験（論文形式）（７０％）によって総合評価を行う。全時間の受講を前提とし、欠席者には別にレポート課題を課す。3分の2以上の講義出席率は必須である。,"1. 講義の目的と教育プログラム
2. 倫理ということ　a.世の流れと倫理教育、b.なぜ工学倫理を学ぶか、c.倫理とは、d.倫理学の分類
3. 倫理ということ　a.規範倫理の３つの学説、b.人のモラルを支えるもの、c.ハラスメント、d.宗教の戒律など
4. 技術者であること　a.技術者の国際資格と技術倫理、b.リスク・マネジメント
5.グループ討論１（１）公益通報を考える
6.グループ討論１（２）発表と解説
7. 法における責任　a.法というもの、b.知的財産、c.ＰＬ（製造物責任）法、d.説明責任
8. 倫理問題への取り組みとコンプライアンス　a.倫理は書き表すべきか、b.倫理に対する3つの態度、c.技術者の倫理綱領、d.企業の倫理綱領
9. 環境倫理　a.環境倫理の枠組み、b.環境問題のコントロール
10. 工学倫理問題の解決のために　a.技術者の倫理レベルと発達過程、b.工学倫理に関わる事象、c.倫理課題の判定、d.倫理課題解決の手法、e.「思いやり」違い
11.グループ討論２（１）過去の事例研究
12.グループ討論２（２）発表と解説
13.事例調査とケーススタディ
14.まとめ
15．レポート作成",授業は授業計画に従って行うので、教科書の関係する箇所を予習しておくこと。授業では講義内容に関係するレポートの課題を出すので、講義内容の復習に活用すること。また講義の内容をより深く理解するため、参考書に示した本など、教科書以外の工学倫理に関連した本を複数読むことが望ましい。合計で６０時間以上の授業外学習時間が必要である。,"教科書：齋藤了文、坂下浩司「はじめての工学倫理　第３版」（昭和堂、２０１４年）初版，2版は不可。中古本の場合、注意する。教科書を持たないと授業にならないので、必ず購入のこと。
参考書：杉本泰治他「第五版 大学講義 技術者の倫理 入門」(丸善、2016)","集中講義のため、質問は講義中に受け付ける。
",特になし,学習・教育目標 ：（１）,講義,,ディベートその他,全員による壇上での発表,15回中15回,授業担当者は、民間の化学プラントメーカーでプラント設計やマネジメントを行ってきた。また、研究開発の成果から企業として事業化する経験も積んでいる。その経験を基に、法規制や普通倫理を順守することの重要性を認識させ、職業人として倫理的な行動を意識できるよう指導する。
2019,環境化学工学科,化学工学基礎実験,,後期,２年次後期,必修,1,全教員,,,,,,,,,,,,,,,,
2019,環境化学工学科,移動現象I,Fundamentals of transport phenomenaI,後期,２年次後期,必修,2,武井孝行 ,takei@cen.kagoshima-u.ac.jp,"　移動現象は、化学プロセス内で起こる様々な現象の最も基本的な単位であり、種々の装置を最適設計し、化学反応を含むあらゆる現象を正確にコントロールするためには、基礎となる移動現象に関する正しい理解と、移動現象に関連する種々の問題を自ら解決する能力が必須である。本授業においては、移動現象の1分野である、流動現象について基礎的内容を理解するとともに、基礎・応用問題を解く能力を身につけることを目的とする。

科目コード：CHE2301 ","１．流動現象について基礎的内容を理解すること。
２．上記分野について、基礎・応用問題を解く能力を身につけること。",3分の2以上の講義出席率は必須である。中間試験（45%）、期末試験（45%）およびレポート（10%）にて評価する。,"１．ガイダンス
２．流体の流れ（Newtonの粘性の法則、非ニュートン流体）
３．流体の流れ（層流と乱流、相当直径）
４．円管内の流れ（連続の式）
５．円管内の流れ（円管内の層流速度分布）
６．円管内の流れ（円管内の乱流速度分布）
７．円管内の流れ（Fanningの摩擦係数）
８．第2～4回講義の演習
９．第5～7回講義の演習
１０．流体の輸送（Bernoulliの式）
１１．圧力および流速、流量の測定（圧力の測定）
１２．圧力および流速、流量の測定（流速の測定）
１３．圧力および流速、流量の測定（流量の測定）
１４．第11、12回講義の演習
１５．第13回講義の演習",　授業は授業計画に従って行うので、教科書の関係する箇所を予習しておくこと。授業では講義内容に関係するレポートの課題を出すので、講義内容の復習に活用すること。また講義の内容をより深く理解するため、参考書を読むことが望ましい。合計で６０時間以上の授業外学習時間が必要である。,"テキスト：
化学工学（改訂第3版）－解説と演習－
化学工学会 監修
多田 豊 編
朝倉書店
ISBN 978-4-254-25033-6

参考書：
新編 流体の力学
中山泰喜 著
養賢堂
ISBN 978-4-8425-0478-01",電子メールによる質問を随時受付ける。,高校の微分、積分を修得しておく必要がある。,学習・教育目標：２）,講義,,その他,講義内で演習を行い、巡回により学生からの質問を受け付ける,15回中3回,
2019,環境化学工学科,移動現象II,Transport phenomena II,後期,２年次後期,必修科目,2,二井晋,niisus@cen.kagoshima-u.ac.jp,"熱移動は，我々の身の周りに生じている現象の多くに関与しているとともに，生産システム・装置では必ず熱設
計・操作が必要となる。本講義では，そのような熱移動の基礎を理解するとともに，物質内，流体と固体間，物
体間での伝熱量の求め方，熱交換器の設計方法などを講義する。また，代表的な熱エネルギー機器の作動原理に
ついても解説する。","１．熱移動の基本である伝導・対流・放射の伝熱形態を理解する。また，沸騰伝熱と凝縮伝熱の形態についても
理解する。
２．Fourierの法則，Newton冷却の法則から，単一壁面および多層壁面を通る熱流量，およびそれらに接して流
れる流体中への熱流量を求められるようにする。
３．放射伝熱における物体間の伝熱量を求められるようにする。
４．熱交換器の設計方法を修得する。
５．代表的な熱エネルギーシステム・機器の構造，動作原理などを理解する。","3分の2以上の講義出席率は必須である。中間試験（30%）、期末試験（40%）およびレポート（30%）の点数にて
評価する。","第１回：身の回りの伝熱，各種工業装置内の伝熱
第２回：Fourierの法則，熱伝導度
第３回：単一壁および多層壁を通しての熱流量
第４回：Newton冷却の法則
第５回：壁を隔てた流体間の熱流量と総括伝熱係数
第６回：Planckの法則，Wienの変位則，Stefan-Boltzmannの法則
第７回：実在物体の熱放射，物体間の放射伝熱、中間試験
第８回：伝熱推進温度差
第９回：対流伝熱係数の推算式
第１０回：熱交換器の分類と設計法
第１１回：沸騰伝熱と凝縮伝熱
第１２回：熱伝導方程式の導出方法
第１３回：物体内の非定常温度分布
第１４回：熱エネルギーシステム・機器
第１５回：総合演習
第１６回：定期試験","授業は授業計画に従って行うので、教科書の関係する箇所を予習しておくこと。授業では講義内容に関係するレ
ポートの課題を出すので、講義内容の復習に活用すること。また講義の内容をより深く理解するため、参考書を
読むことが望ましい。合計で６０時間以上の授業外学習時間が必要である。","教科書：化学工学（改訂第3版）－解説と演習－ 化学工学会監修, 多田 豊 編, 朝倉書店
参考書：伝熱工学　丸善ISBN 978-4-88898-120-0",電子メールによる質問を随時受付ける。,高校の微分、積分を修得しておく必要がある。,学習・教育目標：２）,講義,,その他,講義内で演習を行い、巡回により学生からの質問を受け付ける、講義中に学生を指名して簡単な質問に答えさせる,15回中5回,該当なし
2019,環境化学工学科,無機化学,Inorganic Chemistry,後期,２年次後期,必修,2,鮫島宗一郎,理工系総合研究棟３階ナノ専攻第９研究室　099-285-7709　samesima@cen.kagoshima-u.ac.jp,"本講義は1年次の無機化学基礎の続編である。無機化学基礎に引き続き、各元素の性質および化合物について学ぶ。具体的には s-ブロック元素、p-ブロック元素の化学を講義する。元素や化合物の化学的性質を系統的に理解するために、元素の電子状態と結合形式、生成する化合物の構造と性質の関係について説明する。理解度確認のため、レポートを課す。
本講義は本学科の教育目標2)｢自然科学の基礎知識と教養、および確かな化学工学専門知識に基づく設計と応用によって人類社会に貢献できる人材｣を養成するために行う。

科目のナンバリング　FENCHE3209","s-ブロック元素、p-ブロック元素の電子状態と結合形式、生成する化合物の構造と性質の関係を学び、元素や化合物の化学的性質を系統的に理解する。そのため、次のことが必要です。
1.非常に幅広く、教科書の分量が多いため、各講義の予習および復習をすること。
2.要点となる章末問題を解くこと。",成績はレポート（１０％）および中間試験（４５％）、期末試験（４５％）で評価する。," 1.s-ブロック元素　第I族　電子構造
 2.s-ブロック元素　第I族　化合物性質
 3.s-ブロック元素　第II族　電子構造
 4.s-ブロック元素　第II族　化合物性質
 5.p-ブロック元素　第III族　電子構造
 6.p-ブロック元素　第III族　化合物性質　 
 7.p-ブロック元素　第IV族　電子構造
 8.p-ブロック元素　第IV族　化合物性質
 9.p-ブロック元素　第V族　電子構造
10.p-ブロック元素　第V族　化合物性質
11.p-ブロック元素　第VI族　電子構造
12.p-ブロック元素　第VI族　化合物性質
13.p-ブロック元素　第VII族　電子構造
14.p-ブロック元素　第VII族　化合物性質
15.p-ブロック元素　第0族　電子構造と化合物性質
16.期末試験",授業は授業計画に従って行うので、教科書の関係する箇所を予習しておくこと。授業では講義内容に関係するレポートの課題を出すので、講義内容の復習・予習に活用すること。また講義の内容をより深く理解するため、参考書に示した本など、教科書以外の無機化学に関連した本を複数読むことが望ましい。合計で６０時間以上の授業外学習時間が 必要である。,"教科書：J.D.Lee 著、浜口　博、菅野　等訳、無機化学、東京同人
参考書：新村陽一著、無機化学、朝倉書店。山田祥一郎著、配位化合物の構造、化学同人。","講義の初回に連絡します。
ただし、メールによる質問は随時受け付ける。",　無機化学基礎,学科教育目標2)｢自然科学の基礎知識と教養、および確かな化学工学専門知識に基づく設計と応用によって人類社会に貢献できる人材｣ を養成するために行う。,講義,,その他,予習・復習レポート,１５回中１０回,"授業担当者は、民間の化学メーカーで無機機能性材料の研究開発に従事した。その経験を基に無機化学で学ぶ元素の性質が機能性材料の結晶構造および機能発現に深く関わっていることを具体的に解説する。
"
2019,環境化学工学科,反応速度論,Chemical Reaction Kinetics,後期,２年次後期,必修,2,甲斐敬美,t.kai@cen.kagoshima-u.ac.jp,"　化学物質を大量に合成するためには、反応の定量化が必要である。これは、大きく分けると、化学量論式の確立、平衡関係そして反応速度である。前二者については、化学熱力学において講義される。反応速度論は、化学反応が平衡に到達するまでの速度を記述することを目的としている。本講義では、反応速度の記述法、反応速度式の導出法、そして回分反応器の設計方程式について平易に講義をし、反応工学のための基礎知識を付与することを目的とする。さらに、触媒が関与する反応、酵素および生物が関与する反応の速度式の特徴についても説明する。本講義の学習・教育目標は、「確かな化学工学専門知識に基づく設計と応用によって人類社会に貢献できる能力」を身につけることである。
科目コード：FENCHE3601","１．反応速度と平衡の関係を理解すること
２．反応速度の考え方について理解すること
３．定常状態法、律速段階近似法による反応速度式の導出法について理解すること
４．上記の関係から速度式が導出できること
５．温度と反応速度係数との関係式を使った計算ができるようになること
６．回分反応器の形式を理解し設計方程式が使えること",中間試験および期末試験は下記の配点にて理解度に応じて採点する。○レポート[10%]　○中間試験[40%]　○学期末試験[50%],"1．反応器設計の目的
2．化学反応の分類
3．化学反応式、限定反応成分、反応速度の定義
4．反応速度と反応次数、反応速度定数、温度依存性、アレニウスの式
5．反応速度式に関する演習
6．不均一系の反応速度、素反応、吸着
7．固体触媒反応、律速段階近似法
8．酵素反応、定常状態近似法
9．反応率、収率、選択率
10．反応速度と反応率に関する演習
11．反応にともなう濃度変化
12．回分反応器の設計方程式
13．反応速度解析、半減期法、放射性炭素年代測定
14．微分法による速度解析
15．積分法による速度解析",授業では講義内容に関係するレポート課題を出すので、講義内容の復習に活用すること。また、次週の講義範囲についても指示するので、教科書の関係する項目を予習すること。学習時間は合計で60時間以上必要である。レポート課題について教員、先輩、友人にアドバイスを受けることはよいが、最後は自分で理解すること。,"教科書：草壁克己、増田隆夫著、反応工学、三共出版
考書書：橋本健治著、反応工学（改訂版）、培風館",随時、質問は受け付ける。,高校の化学、物理、数学（特に微分と積分）が基礎となる。,学習・教育目標　２）に該当する科目である。,講義,,学習の振り返り（ミニッツ・ペーパー等）,,13回,
